Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2009:02,-0.30,-0.65,-0.30,0.04,-1.20,-2.26,-0.73
2009:03,-0.71,-0.79,-0.33,-0.46,-2.29,-2.15,-0.78
2009:04,-0.40,-0.66,-0.27,-0.25,-1.58,-1.69,-0.75
2009:05,-0.46,-0.40,-0.21,-0.06,-1.13,-1.67,-0.76
2009:06,-0.20,-0.38,-0.22,-0.08,-0.88,-1.20,-0.63
2009:07,0.39,-0.29,-0.17,0.22,0.15,-0.62,-0.36
2009:08,0.33,-0.22,-0.08,-0.02,0.00,-0.24,-0.14
2009:09,0.26,-0.18,-0.42,0.12,-0.23,-0.03,0.04
2009:10,0.04,-0.23,-0.21,0.09,-0.30,-0.18,0.00
2009:11,0.16,0.00,-0.22,0.10,0.04,-0.16,0.00
2009:12,-0.02,-0.16,-0.17,0.04,-0.31,-0.19,0.00
2010:01,0.31,0.03,-0.25,0.06,0.15,-0.04,0.03
2010:02,-0.05,-0.20,-0.18,0.07,-0.36,-0.17,-0.12
2010:03,0.31,0.07,-0.08,0.17,0.48,0.09,0.08
2010:04,0.19,0.22,-0.16,0.14,0.38,0.17,0.24
2010:05,0.47,0.09,-0.24,-0.02,0.30,0.39,0.45
2010:06,0.01,-0.08,-0.22,0.13,-0.16,0.18,0.27
2010:07,0.11,0.08,-0.22,0.17,0.14,0.09,0.19
2010:08,0.04,-0.01,-0.19,0.00,-0.16,-0.06,0.04
2010:09,0.00,-0.01,-0.20,0.01,-0.20,-0.07,-0.01
2010:10,-0.04,0.10,-0.19,0.01,-0.12,-0.16,-0.08
2010:11,-0.01,-0.02,-0.20,0.04,-0.18,-0.17,-0.09
2010:12,0.24,0.03,-0.24,0.03,0.07,-0.08,0.00
2011:01,-0.01,0.00,-0.20,0.23,0.02,-0.03,-0.04
2011:02,-0.04,0.20,-0.26,-0.29,-0.39,-0.10,0.01
2011:03,0.23,0.10,-0.20,0.27,0.40,0.01,0.16
2011:04,-0.18,0.06,-0.25,-0.11,-0.49,-0.16,0.05
2011:05,0.01,0.05,-0.27,-0.14,-0.34,-0.14,0.04
2011:06,0.03,0.04,-0.18,0.10,0.00,-0.28,-0.16
2011:07,0.15,0.10,-0.21,0.10,0.15,-0.06,0.10
2011:08,0.12,-0.03,-0.23,0.12,-0.02,0.04,0.19
2011:09,-0.03,0.14,-0.16,-0.20,-0.26,-0.04,0.18
2011:10,0.11,0.03,-0.18,0.19,0.15,-0.04,0.19
2011:11,-0.13,0.04,-0.18,-0.07,-0.34,-0.15,0.03
2011:12,0.18,0.11,-0.17,0.15,0.26,0.02,0.21
2012:01,0.22,0.20,-0.14,0.07,0.35,0.09,0.27
2012:02,0.08,0.03,-0.12,0.02,0.01,0.21,0.49
2012:03,-0.28,0.14,-0.19,-0.07,-0.40,-0.02,0.24
2012:04,0.23,-0.02,-0.18,0.03,0.06,-0.11,0.10
2012:05,-0.06,0.03,-0.17,0.02,-0.18,-0.18,-0.03
2012:06,-0.03,0.01,-0.19,-0.12,-0.32,-0.15,-0.03
2012:07,-0.13,-0.01,-0.14,-0.01,-0.29,-0.27,-0.18
2012:08,-0.17,0.02,-0.14,-0.14,-0.44,-0.35,-0.32
2012:09,-0.12,0.09,-0.12,0.04,-0.11,-0.28,-0.28
2012:10,-0.05,0.01,-0.14,-0.09,-0.27,-0.27,-0.26
2012:11,0.14,0.00,-0.08,0.23,0.28,-0.03,-0.01
2012:12,0.15,0.09,-0.09,0.00,0.14,0.05,0.16
2013:01,-0.30,0.02,-0.08,0.03,-0.34,0.03,0.19
2013:02,0.11,0.16,-0.10,0.07,0.24,0.01,0.24
2013:03,0.02,0.02,-0.11,-0.20,-0.28,-0.13,0.03
2013:04,-0.13,-0.02,-0.13,-0.02,-0.31,-0.12,-0.06
